OBJECTID,CFCA_ID,Wetland_Ty,Stressed,Class,SUM_ACRES_COMB,Shape_Length,Shape_Area,Latitude,Longiitude
1,SF-AC,Plain,NO,Class 2,9.449571286271512,1428.161907306175600,38241.058248502944000,27.8631401,-81.4245758
2,SF-AD,Plain,YES,Class 2,2.413648674822376,364.536592771609380,9767.689640859667600,27.8626862,-81.4177933
3,SF-AF,Ridge,YES,Class 2,34.177232261683805,3104.736675084973700,138310.351877890240000,28.3962326,-81.4971848
4,SF-AG,Ridge,NO,Class 2,5.422378194195392,1122.095367558874400,21943.586019707946000,28.0615444,-81.4882507
5,SF-AJ,Plain,NO,Class 2,29.055077011619062,3247.775029561186800,117581.725007329030000,28.1719608,-81.5104599
6,SF-AL,Plain,NO,Class 2,12.506969877746927,1503.434952447322800,50613.911374383824000,28.2502537,-81.4638901
7,SF-AM,Ridge,NO,Class 2,20.536499538480612,2184.605943000356500,83108.265051302762000,28.2701340,-81.6400833
8,SF-AN,Ridge,NO,Class 2,52.630108745719518,3346.910185690278000,212986.493588908580000,28.2809334,-81.6110916
9,SF-AU,Ridge,NO,Class 2,55.165639566594095,6353.591589276886200,223247.422776237920000,28.2117348,-81.5566635
10,SF-BG,Ridge,NO,Class 2,77.102486729124365,4064.937329026616200,312022.693603390420000,28.4677639,-81.5473709
11,SF-BX,Ridge,YES,Class 2,15.558841224953269,1382.946561293659700,62964.396536104970000,28.4828758,-81.4002304
12,SF-BY,Ridge,YES,Class 2,63.926205629597874,3767.350559930773200,258700.175811695170000,28.5208969,-81.4512863
13,SF-BZ,Plain,YES,Class 2,35.259049787839352,2885.978809704225600,142688.312080622590000,28.5093403,-81.4450226
14,SF-CB,Plain,YES,Class 2,3.189724865067321,409.116943413607030,12908.358555678324000,28.3735523,-81.3039856
15,SF-CE,Plain,YES,Class 2,71.212303095171777,2402.228216988507900,288185.966135083460000,28.4434071,-81.4237061
16,SF-CG,Plain,NO,Class 2,5.228701452149593,764.201052636986900,21159.804052437994000,28.1990013,-81.2667847
17,SF-CH,Plain,YES,Class 2,69.390189227050627,4497.035304738265000,280812.132924600560000,28.1877232,-81.2690659
18,SF-CJ,Plain,NO,Class 2,1.543623529607452,294.732954505994540,6246.822794559673600,28.2249966,-81.3283539
19,SF-CN,Plain,YES,Class 2,21.588850140909813,1806.177084249322200,87366.976845292200000,28.3526554,-81.2828064
20,SF-CP,Plain,NO,Class 2,7.551050924504846,717.440573216002120,30558.018930024122000,28.3135090,-81.3722076
21,SF-CQ1,Plain,YES,Class 2,31.822873582007212,1691.349848838234900,128782.600334567210000,28.2990551,-81.3450165
22,SF-CT,Plain,NO,Class 2,44.236611959551318,2407.816093097742400,179019.217214464880000,28.4057999,-81.3695297
23,SF-CY,Plain,NO,Class 2,16.739950180631691,1749.105891873261300,67744.174899145408000,27.9657421,-81.0723190
24,SF-DI,Plain,YES,Class 2,6.379432388173972,585.554183618712160,25816.646931459585000,28.4378033,-81.4140167
25,SF-DW,Plain,NO,Class 2,4.351293815853309,542.961158533943600,17609.061324652150000,28.2043476,-81.4535370
26,SF-DX,Plain,YES,Class 2,4.959498693281092,593.898639993986540,20070.379138788994000,28.2324181,-81.4654999
27,SF-EP,Ridge,NO,Class 2,2.061937373388897,327.601326032836430,8344.364502090433200,28.4123421,-81.4947891
28,SF-EQ,Ridge,YES,Class 2,3.062122337264425,410.096570118262490,12391.969446695104000,28.4033279,-81.4985657
29,SF-EV,Plain,YES,Class 2,66.717449293900657,5562.070244152106200,269995.938161109810000,28.3213367,-81.5624084
30,SF-EW,Ridge,NO,Class 2,23.489994709643092,3745.191365895196700,95060.635951675358000,28.2690582,-81.5979691
31,SF-EY,Plain,NO,Class 2,4.277402204266248,760.621164004124690,17310.032581820484000,27.7487431,-81.2597733
32,SF-EZ,Ridge,NO,Class 2,14.839169852926364,1821.405696368451300,60051.989822663709000,27.7428646,-81.3019867
33,SF-FA,Plain,NO,Class 2,16.294173520137473,1492.838236291149500,65940.180757619033000,27.6630573,-81.0185776
34,SF-FD,Plain,NO,Class 2,7.887403170162479,1160.531975109711500,31919.188175422034000,27.7022934,-80.9230957
35,SF-VC,Plain,NO,Class 2,5.330118700142451,890.647228131113820,21570.225093960318000,28.0758667,-81.1700516
36,SF-VD,Plain,YES,Class 2,22.763768480749867,2695.788818929228500,92121.702674401560000,28.0669041,-81.1930161
37,SF-WC,Ridge,YES,Class 2,12.252634641693493,2198.036502288023700,49584.653190840836000,28.3029022,-81.5883331
38,SF-WD,Ridge,YES,Class 2,4.913387881835954,751.963032286223440,19883.775305404186000,28.2973900,-81.5949020
39,SF-WE,Ridge,YES,Class 2,2.472301977133440,792.531177460065240,10005.051134283593000,28.3481960,-81.6098404
40,SF-WF,Ridge,YES,Class 2,11.725941667166730,1455.704996519986500,47453.202344461446000,28.3488274,-81.6056900
41,SF-WG,Ridge,NO,Class 2,2.325976073842064,754.858492469880840,9412.891212776492500,28.4189072,-81.6251450
42,SF-WH,Ridge,NO,Class 2,19.840157972892364,3331.088629123963500,80290.270714188227000,28.4505596,-81.6148376
43,SF-WI,Ridge,YES,Class 2,34.118059319019679,3818.652887544245000,138070.887475493420000,28.4660149,-81.6364517
44,SF-WJ,Ridge,NO,Class 2,6.433043974859060,861.407704176186710,26033.605325154618000,28.4423733,-81.5556335
45,SF-WK,Ridge,NO,Class 2,3.824779589403585,614.121029782334860,15478.333845714351000,28.4436016,-81.5533600
46,SF-WQ,Plain,NO,Class 2,4.622858507436497,502.659328313131030,18708.044640649412000,28.3585281,-81.2441788
47,SF-WS,Plain,YES,Class 2,6.378559964823954,1005.628251381808700,25813.116359311338000,28.3537445,-81.2404480
48,SF-WU,Plain,NO,Class 2,2.833898722297668,505.180877727946490,11468.381244761471000,28.3582115,-81.2016983
49,SF-WV,Plain,NO,Class 2,26.831810968657422,2516.280481853929400,108584.486543193720000,28.3671970,-81.2023926
50,SF-WY,Plain,NO,Class 2,31.373760714579802,2675.833071770372500,126965.105042957610000,28.2311993,-81.3001633
51,SF-WZ,Plain,NO,Class 2,9.526321592433774,1678.262443886158500,38551.655717833833000,28.2261200,-81.3002319
52,SF-XA,Plain,NO,Class 2,15.444807929692956,2148.537403232771300,62502.920163567964000,28.1901665,-81.5054932
53,SF-XB2,Ridge,NO,Class 2,20.542357439676120,1937.952447795770700,83131.971136329492000,28.4797153,-81.6086426
54,SF-XC,Plain,NO,Class 2,37.659188189332639,6899.182695735053100,152401.327586192080000,28.3295822,-81.4831467
55,SF-XE,Plain,YES,Class 2,555.637431996610760,13895.410997712081000,2248584.910200569800000,28.1661568,-81.4290009
56,SF-XF,Ridge,NO,Class 2,25.715000890769257,3723.524343542807400,104064.916506430310000,28.3510036,-81.6480942
57,SF-XG,Ridge,NO,Class 2,214.634102620786310,34273.325362179305000,868593.396657539420000,28.4258747,-81.6475754
58,SF-XL,Ridge,NO,Class 2,18.190006489707756,2287.302753379247900,73612.344586251260000,28.3634415,-81.4910812
59,SF-XN,Plain,NO,Class 2,9.633564158218034,1127.878066805444200,38985.650984287102000,28.1324043,-81.4868851
60,SF-XO,Plain,NO,Class 2,7.522970042351229,1004.840258909814500,30444.379631463198000,28.1356621,-81.4929581
61,SF-XP,Plain,YES,Class 2,20.378475582756064,2053.768236790631800,82468.764790290777000,28.3150673,-81.4433212
62,SF-XR,Plain,YES,Class 2,21.507488293147691,2457.098794420050100,87037.717129857207000,28.2269859,-81.4397964
63,SF-XU,Plain,NO,Class 2,1.504131183518398,294.753662129906390,6087.002940153542100,28.0534782,-81.3943710
64,SF-XV,Plain,NO,Class 2,5.810403613172467,749.121276779888490,23513.869178703164000,28.0505142,-81.3943329
65,SF-XW,Plain,NO,Class 2,1.815824676931606,315.231356386042140,7348.381755793077000,28.0576019,-81.3997726
66,SF-XX,Plain,NO,Class 2,0.459856279201593,240.895935435578740,1860.972336867934000,28.1143703,-81.4129028
67,SF-XY,Plain,NO,Class 2,2.917261332458314,399.051174781018460,11805.737759078111000,28.1065826,-81.4175797
68,SF-YB,Ridge,YES,Class 2,68.405075569612393,5179.793421610663200,276825.519393205120000,28.2758770,-81.6436768
69,SF-YD,Ridge,NO,Class 2,150.541351502777330,11202.345915937858000,609219.235166195310000,28.2962360,-81.6430206
70,SF-YG,Plain,YES,Class 2,88.423114917534306,4142.671262683552400,357835.650493745170000,28.3656063,-81.2496872
71,SF-YI,Plain,NO,Class 2,21.568248140835657,3004.868870975239600,87283.603509065928000,28.4306240,-81.2366333
72,SF-YL,Ridge,YES,Class 2,182.659439461360620,14131.424180100699000,739196.525696827560000,28.4245377,-81.5494537
73,SF-YM,Ridge,NO,Class 2,44.302135234891551,3719.838691619001100,179284.380502362440000,28.4879665,-81.4658051
74,SF-ZB1,Plain,NO,Class 2,28.311224681947298,2720.201023447341900,114571.461429443410000,28.3173828,-81.3585739
75,SF-ZC6,Plain,YES,Class 2,3.964187779451954,633.242943441441410,16042.498774874733000,28.4596119,-81.4348068
76,SF-ZE1,Ridge,YES,Class 2,198.143720014768750,9700.607973801499600,801859.185899490260000,28.3684769,-81.6222839
77,SF-ZG1,Plain,NO,Class 2,190.536991183810930,7948.154850940916700,771075.846477022050000,28.3772717,-81.3829575
78,SF-ZG2,Plain,NO,Class 2,138.812349928632780,6466.643729300095400,561753.649817253000000,28.3774471,-81.3954544
79,SF-ZI1,Ridge,YES,Class 2,4.338501009168654,586.827831471162540,17557.290672543051000,28.3151360,-81.6040649
80,SF-ZI2,Ridge,YES,Class 2,152.838317172208860,9048.003823098188100,618514.725436747660000,28.3115826,-81.5949402
81,SF-ZJ5,Ridge,NO,Class 2,610.597426351954710,57233.440801201898000,2471000.116332016400000,28.4576054,-81.5315857
82,SF-ZJ7,Ridge,NO,Class 2,10.964362431373090,1157.748366530999200,44371.200523427557000,28.4926548,-81.5684052
83,SF-ZL1,Plain,NO,Class 2,44.244481899730737,5978.292226536215800,179051.065733701340000,27.9663525,-81.0695114
84,SF-ZL2,Plain,NO,Class 2,17.616375894403461,1949.884071049126300,71290.943927679196000,27.9685478,-81.0723724
85,SF-ZM,Plain,NO,Class 2,10.027603150138857,1857.411927235606300,40580.270209162554000,28.2180061,-81.3146210
86,SF-ZN,Plain,YES,Class 2,8.119303922673124,1464.905867523259300,32857.657224709073000,28.2132473,-81.3127365
87,SF-ZP,Plain,YES,Class 2,19.026011300743630,1737.346424442234600,76995.536025116977000,28.3578320,-81.2760849
88,SF-ZR,Plain,NO,Class 2,8.340529391435197,1122.213457595976700,33752.924934007169000,28.3500729,-81.2795334
89,SF-ZS,Plain,YES,Class 2,13.161506362537256,1564.736805075690700,53262.726552537664000,28.3221531,-81.4389114
90,SF-ZU,Plain,NO,Class 2,2.445997074633835,515.891424353836100,9898.598970653547400,28.4225292,-81.3999176
91,SF-ZY,Ridge,NO,Class 2,17.729994570201498,2051.645173750106100,71750.742396118992000,28.4836273,-81.6030045
92,SF-ZZ,Ridge,NO,Class 2,60.997384620064246,7517.876507225785600,246847.657698994710000,28.4739246,-81.6185150
93,SJ-AD,Plain,YES,Class 2,28.556136508177048,3835.472971009516600,115562.584426557820000,28.6521797,-81.1182251
94,SJ-AE,Plain,NO,Class 2,6.196359932006117,2180.035875997123600,25075.778986448200000,28.6401291,-81.1251984
95,SJ-AI,Plain,YES,Class 2,21.545072110340428,3050.554948272556900,87189.813441134422000,28.6408386,-81.1953354
96,SJ-AR,Plain,YES,Class 2,69.353075758135674,5315.892138368058100,280661.940044833000000,28.6595592,-81.2416992
97,SJ-AV,Plain,YES,Class 2,27.663973373237098,2203.828218403391000,111952.128313907680000,28.6583767,-81.2820969
98,SJ-BT,Ridge,NO,Class 2,14.022813081947586,2971.044057921004000,56748.311181166442000,28.6407146,-81.3582687
99,SJ-CN,Plain,NO,Class 2,21.095262703070922,2425.172439635099600,85369.499352126542000,28.8116112,-81.3930206
100,SJ-CS1,Plain,YES,Class 2,56.668038089432258,5130.600451336989900,229327.413887072090000,28.6828480,-81.4136734
101,SJ-CX,Ridge,NO,Class 2,8.816471250354468,2879.881438704904700,35678.993302778537000,28.6642075,-81.4245071
102,SJ-CY,Plain,NO,Class 2,16.847493616131267,3020.918704796995800,68179.387741578234000,28.6666183,-81.4387817
103,SJ-CZ,Plain,NO,Class 2,3.561757876603220,743.362963644555180,14413.922737821576000,28.6698227,-81.4438477
104,SJ-DN,Plain,NO,Class 2,32.451005423678893,3286.920324346013300,131324.559712559160000,28.5999432,-81.1800613
105,SJ-DO,Plain,NO,Class 2,17.629755828486232,2149.792544261993500,71345.090599984513000,28.6076717,-81.2005081
106,SJ-DQ,Plain,NO,Class 2,40.079959527052630,4319.519735920774100,162197.841619604090000,28.5709896,-81.2131729
107,SJ-DR,Plain,NO,Class 2,15.893219038070644,2046.292345214810900,64317.575538449040000,28.5176353,-81.1835098
108,SJ-DS,Plain,YES,Class 2,23.856619755035684,2938.242797941506100,96544.314872082949000,28.4962807,-81.2067261
109,SJ-DT,Plain,NO,Class 2,60.883814706238027,3986.633527357045300,246388.056564972530000,28.5445461,-81.2350082
110,SJ-DV,Plain,NO,Class 2,51.065910465180629,8399.348899412638300,206656.407732943130000,28.5035343,-81.2543030
111,SJ-DX,Plain,YES,Class 2,20.829894681515071,2268.003970852138100,84295.593069809154000,28.4999752,-81.2831955
112,SJ-DY,Ridge,YES,Class 2,104.451762509884720,3448.371597840175100,422701.285944653970000,28.4829273,-81.3228607
113,SJ-DZ,Ridge,YES,Class 2,17.044402718308870,1611.216351751706500,68976.250606849775000,28.5136452,-81.3068314
114,SJ-EC,Plain,NO,Class 2,21.330883226017047,1208.745092450131800,86323.021778671522000,28.5875835,-81.2804642
115,SJ-ED,Plain,YES,Class 2,121.028624957067850,5080.322227450710700,489785.468201772430000,28.5869770,-81.3003616
116,SJ-EE,Ridge,NO,Class 2,33.675037664682826,4826.757826743115400,136278.042447482610000,28.5624485,-81.3217926
117,SJ-EN,Plain,NO,Class 2,36.473237148200475,5674.436249260581500,147601.953997985520000,28.6264591,-81.3931732
118,SJ-EO,Plain,NO,Class 2,14.099539154952442,1817.687033379628000,57058.810581870188000,28.6295719,-81.4251328
119,SJ-ER,Ridge,YES,Class 2,27.444058936314146,2211.986149759958600,111062.166163185150000,28.5465546,-81.4858093
120,SJ-ET1,Ridge,YES,Class 2,65.069569089801490,5359.596885160125600,263327.203573583450000,28.5741482,-81.4958420
121,SJ-EU,Ridge,YES,Class 2,166.917382294519770,12450.649545744594000,675490.680547632040000,28.5956936,-81.4824142
122,SJ-EW,Ridge,NO,Class 2,3.050748056276066,495.738309800932430,12345.939364765225000,28.6276169,-81.4617462
123,SJ-EX,Ridge,YES,Class 2,77.247298070614093,7068.164974600844300,312608.724310118880000,28.6564808,-81.4811707
124,SJ-EY,Ridge,NO,Class 2,25.238477779351218,4139.978354233901900,102136.495892731750000,28.6673412,-81.4651031
125,SJ-EZ,Ridge,NO,Class 2,54.113507300421382,6384.198992631214400,218989.594558312730000,28.6871338,-81.5005341
126,SJ-FL,Ridge,NO,Class 2,23.226945908573224,2147.743309886313900,93996.115223118715000,28.7834148,-81.5724106
127,SJ-FM,Ridge,YES,Class 2,9.428782623813762,704.702449578480920,38156.929516742086000,28.7790451,-81.5949936
128,SJ-FN,Ridge,YES,Class 2,17.269510291477523,1959.549702981428000,69887.228634851461000,28.7651119,-81.6144638
129,SJ-FQ,Ridge,NO,Class 2,7.083505252721588,2111.298529781722700,28665.928725356956000,28.7379169,-81.6035233
130,SJ-FR,Ridge,NO,Class 2,20.261368530753820,3016.764978707296900,81994.849365062255000,28.7189617,-81.5851288
131,SJ-FS,Ridge,YES,Class 2,8.211087019215043,1241.325589315505600,33229.090238595672000,28.7239838,-81.5329361
132,SJ-FT,Ridge,YES,Class 2,36.970018317726478,4772.377067521083500,149612.356065573170000,28.7050171,-81.5721130
133,SJ-FU,Ridge,YES,Class 2,84.961671648303053,5886.511812332587400,343827.686567625210000,28.6997471,-81.5516281
134,SJ-FV,Ridge,NO,Class 2,17.231513128890569,1691.790807913854000,69733.459573894361000,28.6951199,-81.5152969
135,SJ-FW,Ridge,NO,Class 2,12.016058869460389,3042.153867067169400,48627.265007491020000,28.6808090,-81.5475998
136,SJ-FY,Ridge,NO,Class 2,57.524082248192812,8406.270643836942300,232791.701689455690000,28.6758270,-81.5362244
137,SJ-FZ,Ridge,YES,Class 2,20.036239542159809,1679.221441280687700,81083.784672047768000,28.6343002,-81.5201263
138,SJ-GA,Ridge,NO,Class 2,66.782107221773614,7512.018494900963600,270257.599513369900000,28.5940437,-81.5108109
139,SJ-GB,Ridge,NO,Class 2,13.441458143006159,3920.567976228665400,54395.651212247263000,28.5810699,-81.5179443
140,SJ-GC,Ridge,NO,Class 2,32.035564301280814,1857.733341925954200,129643.329137797260000,28.5445004,-81.5347595
141,SJ-GD,Ridge,NO,Class 2,26.893818554601680,4108.407759571802700,108835.422338455330000,28.5349789,-81.5652313
142,SJ-GE,Ridge,NO,Class 2,30.984132483502570,2565.659842894166100,125388.335531344420000,28.5251064,-81.5656815
143,SJ-GF,Ridge,NO,Class 2,14.261180997776851,2211.441969244363000,57712.951911888616000,28.5095520,-81.5760345
144,SJ-GG,Ridge,YES,Class 2,31.986965783365441,1334.440415641064400,129446.657913103710000,28.5119648,-81.6099091
145,SJ-GI,Plain,YES,Class 2,62.393375528041680,2059.794662355920500,252497.032470553150000,28.5942707,-81.6711349
146,SJ-GM,Ridge,NO,Class 2,15.197233960722036,1190.259984465135200,61501.023856663363000,28.5756836,-81.6973267
147,SJ-GN,Ridge,NO,Class 2,39.959306700320958,2870.139135582755900,161709.576954865130000,28.5737228,-81.7035599
148,SJ-GQ,Ridge,YES,Class 2,88.131626740374060,4689.076612920757700,356656.039693374360000,28.5534554,-81.6896591
149,SJ-HB,Ridge,YES,Class 2,483.744120309585300,31180.383678032875000,1957643.000073850900000,28.6477242,-81.7846451
150,SJ-HC,Ridge,YES,Class 2,54.911985837432923,3342.886705043808900,222220.922552776200000,28.6296139,-81.7891693
151,SJ-HD,Ridge,YES,Class 2,302.707798754043040,20208.176480886068000,1225014.999498075300000,28.6202278,-81.7746124
152,SJ-HF,Ridge,YES,Class 2,105.258847941276440,8236.250147319049600,425967.444806093700000,28.5945530,-81.7431564
153,SJ-HH,Ridge,YES,Class 2,80.210645569548873,5786.871047287869300,324600.966167473930000,28.5764523,-81.7336655
154,SJ-HI1,Ridge,YES,Class 2,101.647734252673080,7143.479277962548600,411353.786183975000000,28.5541058,-81.7348022
155,SJ-HJ,Ridge,NO,Class 2,0.374252199560354,199.665811756241000,1514.544917388143600,28.5524940,-81.7644119
156,SJ-HK,Ridge,YES,Class 2,10.131887562685534,2049.731963983449100,41002.294254597051000,28.5336151,-81.7178268
157,SJ-HL,Ridge,NO,Class 2,84.223434970564796,5023.797510387324100,340840.148726756450000,28.5206909,-81.7232590
158,SJ-HM2,Ridge,NO,Class 2,299.414207817458820,11317.997524218285000,1211686.309864438800000,28.4894085,-81.6787872
159,SJ-HR,Ridge,NO,Class 2,5.658919379351987,578.849791070672720,22900.834234248548000,28.3677845,-81.6880417
160,SJ-HX,Ridge,YES,Class 2,74.596288717910127,5483.042898126145700,301880.470085466630000,28.5735474,-81.8077164
161,SJ-IB,Ridge,YES,Class 2,14.260937460626204,2288.165629734166000,57711.966352023323000,28.5742302,-81.8912735
162,SJ-JA,Plain,NO,Class 2,13.759037381802369,1652.278748340839000,55680.848794742640000,28.6340313,-81.3025970
163,SJ-JB,Plain,YES,Class 2,12.802272231966526,2468.465123450264400,51808.957603246919000,28.4549351,-81.7381363
164,SJ-JC,Plain,YES,Class 2,27.905709532611571,2786.317924508860000,112930.399843425290000,28.4274521,-81.8188324
165,SJ-KA,Ridge,YES,Class 2,2.897971041966290,826.123658080004130,11727.672723303160000,28.7407475,-81.5934067
166,SJ-KB,Ridge,YES,Class 2,0.867676858142363,230.874064649717380,3511.363665941276400,28.7392635,-81.5960770
167,SJ-KC,Ridge,NO,Class 2,6.300571901326239,1125.279531025251100,25497.509863675070000,28.5172920,-81.6794968
168,SJ-KD,Ridge,YES,Class 2,17.061488221970862,1417.997801715434400,69045.393186894755000,28.6166668,-81.5027008
169,SJ-KF,Plain,YES,Class 2,38.774444586042954,3509.469988673395200,156914.610097745170000,28.7610340,-81.3511276
170,SJ-KH2,Plain,YES,Class 2,89.890939996137377,5027.413205656191200,363775.727838197550000,28.4525108,-81.3702850
171,SJ-KI,Plain,NO,Class 2,9.804276562353060,1678.785015789049800,39676.499573344277000,28.4023800,-81.0683670
172,SJ-KK,Plain,NO,Class 2,31.475437285717078,2384.019359571957900,127376.575527397320000,28.3939152,-81.0261765
173,SJ-KL,Plain,NO,Class 2,7.081168956846635,683.441176599451520,28656.474071114313000,28.3949623,-81.0215759
174,SJ-KM,Plain,NO,Class 2,0.714646990986657,198.229063448072140,2892.073765223188700,28.3951721,-81.0149765
175,SJ-LI,Plain,NO,Class 2,122.149655739073470,13200.424864982731000,494322.118822413670000,28.8033047,-81.3802185
176,SW-AB,Plain,YES,Class 2,13.034823361001685,2608.929202543625700,52750.058633504697000,28.0717220,-81.8635025
177,SW-AC,Plain,YES,Class 2,5.151021975793436,891.932053878086320,20845.446364663203000,28.0143070,-81.8358612
178,SW-AE,Plain,YES,Class 2,6.928840064025876,1337.269257987251900,28040.020912820833000,27.9635735,-81.7930374
179,SW-AF,Ridge,YES,Class 2,26.551341386827772,3694.733847277640500,107449.466414349560000,28.1694431,-81.6189957
180,SW-AI,Ridge,NO,Class 2,22.720709474734505,2828.532863290153300,91947.449059213963000,27.8114777,-81.4638214
181,SW-AK,Ridge,YES,Class 2,15.202037246194324,2330.477361095930500,61520.462063645573000,27.9484463,-81.5524445
182,SW-AL,Ridge,YES,Class 2,22.367743598153407,1559.373976835460800,90519.046834506356000,27.9440117,-81.5403595
183,SW-AN,Ridge,NO,Class 2,20.729657614050005,2406.170393805698000,83889.948049397877000,28.0267754,-81.5179291
184,SW-AO,Ridge,YES,Class 2,7.363171754395526,1006.377917650031700,29797.698903509812000,28.1427841,-81.5998917
185,SW-AQ,Ridge,NO,Class 2,16.067684053982749,2967.479668978322500,65023.610407429900000,28.2459831,-81.6061935
186,SW-AR,Ridge,NO,Class 2,239.645795857816860,17713.892569412285000,969812.128067631860000,28.2442875,-81.6195374
187,SW-AS,Ridge,YES,Class 2,13.156827234630583,2100.400510831945200,53243.790792568390000,28.2523251,-81.6125870
188,SW-AT3,Ridge,NO,Class 2,168.857682212320900,12139.555152518753000,683342.795732780010000,28.2532749,-81.6320953
189,SW-C1,Plain,YES,Class 2,28.507858240848304,3486.769105562771500,115367.209212240730000,28.1782951,-81.9823380
190,SW-CC,Plain,NO,Class 2,27.038248814444884,3213.694437441410200,109419.910865812330000,28.1851215,-81.7400055
191,SW-D1,Plain,YES,Class 2,51.785525475522874,3296.966485055642800,209568.586358059870000,27.9996948,-81.7903595
192,SW-DD,Plain,YES,Class 2,14.798429537203239,941.971764174291250,59887.119614064788000,28.2422771,-81.6631393
193,SW-EE,Ridge,NO,Class 2,11.467009847820709,1864.086417382088700,46405.342448377283000,28.2455254,-81.6317902
194,SW-F1,Ridge,YES,Class 2,43.269218983391625,3413.667050603161900,175104.316735609610000,28.0626278,-81.6288605
195,SW-FF,Ridge,NO,Class 2,12.674583533706965,1584.751840081221200,51292.219774627323000,28.2389164,-81.6088943
196,SW-G1,Ridge,YES,Class 2,31.438570681198840,1636.905716681219900,127227.381672221800000,27.8747292,-81.5100937
197,SW-GG,Ridge,YES,Class 2,53.755448181155671,6321.813089243449200,217540.580711250480000,28.2133808,-81.5645142
198,SW-H1,Ridge,NO,Class 2,49.160612827832949,5443.493153027831800,198945.941751456440000,27.8111858,-81.4772873
199,SW-H1A,Ridge,NO,Class 2,114.034875657382270,7104.632196586752800,461482.768932204640000,27.8242073,-81.4836731
200,SW-QH,Ridge,NO,Class 2,143.546110118767050,12731.635273119829000,580910.497643142120000,27.8005600,-81.5116425
201,SW-RR,Ridge,NO,Class 2,40.590389734881107,5917.168303857038200,164263.479386440910000,27.7825890,-81.4709167
202,SW-UU,Plain,YES,Class 2,16.240859386569895,1792.517755525216200,65724.426113599897000,27.6522179,-81.5085144